Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Paris, France",11-01-2020,39.1,46.8,41.9,35.3,77.8,,10.3,21.9,213.21,35.6,0,0,,10.7,3.5,1033.2,,48.85718,2.34141,"Paris, France",,,Clear
"Paris, France",12-01-2020,37.6,48.1,43.7,39.9,86.31,,11.8,26.4,209.5,32.4,0,0,,10.8,16.4,1026.6,"Mist, Light Rain",48.85718,2.34141,"Paris, France",,,Clear
"Paris, France",13-01-2020,43.8,49.9,47.1,44.4,90.48,,15,32.2,205.71,38.5,0,0,,9.9,25.7,1019.7,"Mist, Light Drizzle, Light Rain",48.85718,2.34141,"Paris, France",,,Partially cloudy
"Paris, France",14-01-2020,48.7,53.8,51,41.5,69.88,,20.2,51.9,213.67,43.6,0,0,,11.5,14.8,1009.9,Light Rain,48.85718,2.34141,"Paris, France",,,Clear
"Paris, France",15-01-2020,45.9,55.2,50.2,42.8,76.09,,17,38.5,218.75,42.7,0,4.17,,10.3,4,1014.9,Light Rain,48.85718,2.34141,"Paris, France",,,Clear
"Paris, France",16-01-2020,40.2,56.7,47.9,42.7,83.69,,10.5,28.9,182.79,35.6,0,4.17,,8.1,2.5,1022.4,"Mist, Fog",48.85718,2.34141,"Paris, France",,,Clear
"Paris, France",17-01-2020,42,53.5,48.4,41.1,76.65,,12.9,38,238.12,36.1,0.1,12.5,,10.8,9.1,1019,"Drizzle, Light Rain",48.85718,2.34141,"Paris, France",,,"Rain, Clear"
"Paris, France",18-01-2020,37.2,47.7,41.6,36.1,80.9,,9.5,20.8,198.83,32.2,0,0,,11.3,3.1,1028.3,,48.85718,2.34141,"Paris, France",,,Clear
"Paris, France",19-01-2020,37.6,45.1,40.7,34.2,77.66,,14.3,28.9,78.42,32.3,0,0,,11.1,8.9,1039.8,,48.85718,2.34141,"Paris, France",,,Clear
"Paris, France",20-01-2020,36.1,42.7,38.4,33.5,82.7,,12,26.4,36.46,29.7,0,0,,8.9,3.2,1045.9,,48.85718,2.34141,"Paris, France",,,Clear
"Paris, France",21-01-2020,33,40.9,36.2,30.9,81.36,,7.9,16.1,62.08,27.9,0,0,,8.6,0.6,1041.3,Mist,48.85718,2.34141,"Paris, France",,,Clear
"Paris, France",22-01-2020,30,38.7,33.6,29,83.28,,10.5,19.7,45.46,24.7,0,0,,6.1,0.4,1036,Mist,48.85718,2.34141,"Paris, France",,,Clear
"Paris, France",23-01-2020,31.2,38.7,34.1,30.5,86.61,,10.5,19.7,44.29,24.1,0,0,,6.8,6,1029.8,"Mist, Rain",48.85718,2.34141,"Paris, France",,,Clear
"Paris, France",24-01-2020,30.9,41.2,33.9,30.6,87.92,,7.7,15,82.54,24.9,0,0,,2.9,8.9,1024,"Mist, Rain, Light Rain",48.85718,2.34141,"Paris, France",,,Clear
"Paris, France",25-01-2020,30.7,43.8,36.8,34.8,92.91,,4.9,10.3,122.33,27.8,0,0,,2.1,1.9,1020.9,"Mist, Fog, Light Rain",48.85718,2.34141,"Paris, France",,,Clear
"Paris, France",26-01-2020,36.9,47.4,42.5,40.5,92.55,,10.5,21.9,195.33,34.1,0,0,,4.7,6,1016.8,"Mist, Fog, Light Rain",48.85718,2.34141,"Paris, France",,,Clear
"Paris, France",27-01-2020,46.3,48.1,47.6,45.1,91.1,,14.1,33.3,215.75,40.8,0.3,45.83,,7.9,16.9,1007.8,"Drizzle, Mist, Light Drizzle, Rain, Light Drizzle/Rain, Light Rain",48.85718,2.34141,"Paris, France",,,"Rain, Clear"
"Paris, France",28-01-2020,41.5,46.6,44.2,36.3,73.85,,20.1,43.8,252.54,34.3,0,4.17,,10.9,13.2,1003,"Rain, Light Rain",48.85718,2.34141,"Paris, France",,,Clear
"Paris, France",29-01-2020,41.5,49.5,44.8,37.5,75.96,,12.5,32.2,251.38,34.7,0,0,,11.3,7.8,1013.9,,48.85718,2.34141,"Paris, France",,,Clear
"Paris, France",30-01-2020,39.7,55.9,47.2,45,92.14,,11.8,28.9,207.92,35.1,0.1,12.5,,9.6,14.2,1012,"Mist, Rain, Light Rain",48.85718,2.34141,"Paris, France",,,"Rain, Clear"
"Paris, France",31-01-2020,52.6,57.1,54.1,50.4,87.39,,13.7,27.4,236.79,,0,0,,10.8,16.9,1013.6,"Mist, Light Drizzle, Light Rain",48.85718,2.34141,"Paris, France",,,Clear
"Paris, France",01-02-2020,52.3,57.1,54.6,50.4,86.27,,14.8,33.8,244.88,,0.6,33.33,,9.4,15.1,1011,"Drizzle, Light Drizzle, Rain, Light Drizzle/Rain, Light Rain",48.85718,2.34141,"Paris, France",,,"Rain, Clear"
